Fact_ID,Student_ID,Financial_ID,Course_ID,Instructor_ID,Enrollment_Date,Assignments_Completed,Quizzes_Taken,Midterm_Score,Final_Exam_Score,Overall_Grade,Attendance_Rate,Discussion_Participation,Time_Spent_on_LMS,Satisfaction_Score,Instructor_Rating,Tuition_Fees,Scholarship_Amount,Payment_Status,Comments,Name,Age,Gender,Grade_Level,Major,Enrollment_Status,Subject,Course,Credit_Load,Difficulty_Level,Instructor_Name,Instructor_Department,Years_of_Experience
F00011,S0624,Fn1254,C049,I04,25-12-22,7,4,58,70,B,66,15,37,10,1,6262,4028,Paid,Excellent Course,Cole Glover,21,Male,Freshman,Mathematics,Active,Network Security & Firewalls,Cyber Security,3,Beginner,Michelle Stephens,Cyber Security,12
F00012,S0545,Fn1098,C037,I02,03-05-22,12,9,70,76,C,95,9,91,4,5,5557,1504,Pending,Average Course,Ebony Hall,20,Female,Senior,Computer Science,Active,Big Data Analytics,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00013,S0419,Fn0832,C025,I01,31-12-21,12,2,81,70,F,86,16,17,5,7,18540,2622,Pending,Average Course,Ryan Jones,18,Male,Senior,Psychology,Active,Data Visualization with Power BI,Data Analytics,3,Advanced,Timothy Watson,Data Analytics,8
F00014,S0914,Fn1828,C043,I02,06-02-23,13,5,57,71,B,64,11,54,3,4,11470,3231,Pending,Needs Improvement,Ronald Powers II,27,Other,Freshman,Biology,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00015,S0090,Fn0165,C026,I02,12-04-23,15,4,92,62,C,59,4,6,4,3,8362,4958,Overdue,Average Course,David Watson,22,Male,Junior,Psychology,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00016,S0496,Fn1007,C046,I03,23-04-21,16,5,59,93,D,83,24,79,4,6,17353,654,Overdue,Average Course,Heather Richardson,23,Female,Sophomore,Mathematics,Active,Data Wrangling with Python,Data Engineering,4,Intermediate,Sean Nichols,Data Engineering,13
F00017,S0661,Fn1321,C042,I01,16-11-21,17,4,98,65,C,93,11,32,1,5,19648,2939,Paid,Needs Improvement,Bryan Brewer,20,Other,Freshman,Psychology,Active,Data Visualization with Power BI,Data Analytics,4,Beginner,Timothy Watson,Data Analytics,8
F00018,S0960,Fn1913,C027,I02,24-06-21,13,7,72,95,A,92,2,93,1,2,13047,150,Pending,Needs Improvement,Yvette Perez,24,Female,Senior,Business,Active,Deep Learning with TensorFlow,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00019,S0924,Fn1841,C032,I01,09-11-23,16,3,69,73,A,56,18,22,9,6,5289,1978,Paid,Great Course,Kelly Todd,27,Female,Senior,Mathematics,Dropped,SQL for Data Analysis,Data Analytics,3,Beginner,Timothy Watson,Data Analytics,8
F00020,S0724,Fn1437,C044,I04,06-05-21,18,8,62,95,C,88,27,77,3,3,7274,3606,Paid,Needs Improvement,Joel Boyer,24,Female,Senior,Psychology,Active,Incident Response & Forensics,Cyber Security,4,Beginner,Michelle Stephens,Cyber Security,12
F00021,S0116,Fn0222,C003,I02,22-09-23,13,6,71,66,B,74,27,70,5,9,8870,3810,Overdue,Average Course,David Lopez,28,Other,Senior,Biology,Graduated,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00022,S0685,Fn1366,C041,I03,11-09-21,8,3,90,54,B,88,9,50,2,3,8595,1817,Paid,Needs Improvement,Alexis Davis,27,Other,Sophomore,Business,Active,Database Design & Optimization,Data Engineering,3,Advanced,Sean Nichols,Data Engineering,13
F00023,S0020,Fn0030,C043,I02,18-07-23,14,4,64,87,B,95,15,21,1,9,9270,752,Overdue,Needs Improvement,Jacqueline Gibbs,19,Female,Junior,Business,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00024,S0891,Fn1781,C009,I03,06-02-23,8,2,80,91,C,93,24,37,7,6,16484,1191,Paid,Great Course,Jason Norris,26,Other,Sophomore,Mathematics,Dropped,Streaming Data with Apache Kafka,Data Engineering,2,Intermediate,Sean Nichols,Data Engineering,13
F00025,S0132,Fn0248,C001,I03,19-10-21,15,3,94,76,A,77,18,37,10,8,18376,4723,Pending,Excellent Course,Carla Obrien,22,Other,Junior,Psychology,Active,ETL & Data Pipelines,Data Engineering,3,Advanced,Sean Nichols,Data Engineering,13
F00026,S0292,Fn0559,C018,I04,18-07-21,6,4,81,90,A,91,28,88,9,9,8712,2994,Pending,Great Course,Brittany Simpson,18,Male,Sophomore,Business,Active,Ethical Hacking & Penetration Testing,Cyber Security,4,Intermediate,Michelle Stephens,Cyber Security,12
F00027,S0354,Fn0687,C003,I02,18-11-22,19,2,94,81,D,76,10,34,4,8,5846,2726,Paid,Average Course,Andre Stephens,18,Other,Sophomore,Mathematics,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00028,S0237,Fn0453,C014,I03,21-02-23,12,6,62,75,A,86,24,26,4,2,7809,3673,Paid,Average Course,Christopher Lawson,24,Female,Sophomore,Psychology,Active,Data Wrangling with Python,Data Engineering,2,Advanced,Sean Nichols,Data Engineering,13
F00029,S0589,Fn1172,C032,I01,30-07-23,6,4,74,56,A,88,15,57,3,3,12874,4995,Pending,Needs Improvement,Jill Kelly,24,Female,Sophomore,Mathematics,Dropped,SQL for Data Analysis,Data Analytics,3,Beginner,Timothy Watson,Data Analytics,8
F00030,S0223,Fn0423,C004,I02,06-08-21,7,5,70,85,F,87,27,93,3,8,15509,3409,Pending,Needs Improvement,Mark Tucker,19,Male,Senior,Psychology,Active,Big Data Analytics,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00031,S0436,Fn0866,C037,I02,22-09-22,13,5,53,56,A,77,9,50,2,5,19517,1890,Overdue,Needs Improvement,Kenneth King,18,Other,Junior,Mathematics,Active,Big Data Analytics,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00032,S0638,Fn1277,C021,I02,29-03-23,6,9,91,92,C,83,14,48,3,4,16145,110,Pending,Needs Improvement,Regina Holloway,20,Male,Freshman,Biology,Active,AI & Natural Language Processing,Data Science,4,Intermediate,Melissa Jackson,Data Science,5
F00033,S0039,Fn0067,C042,I01,13-04-23,5,5,64,76,B,78,2,79,5,6,9930,976,Overdue,Average Course,Steven Andrews,20,Male,Sophomore,Psychology,Dropped,Data Visualization with Power BI,Data Analytics,4,Beginner,Timothy Watson,Data Analytics,8
F00034,S0327,Fn0630,C027,I02,23-01-21,9,2,70,87,C,94,23,38,8,6,15579,3767,Pending,Great Course,James Gardner,21,Male,Junior,Biology,Active,Deep Learning with TensorFlow,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00035,S0209,Fn0394,C005,I03,29-09-22,11,9,91,97,B,97,9,32,8,7,16135,1434,Paid,Great Course,Terry Moore,18,Female,Senior,Computer Science,Active,Streaming Data with Apache Kafka,Data Engineering,2,Beginner,Sean Nichols,Data Engineering,13
F00036,S0106,Fn0201,C003,I02,12-12-22,8,8,57,97,B,57,11,39,5,5,12473,4276,Paid,Average Course,Alexandra Levine,29,Male,Freshman,Computer Science,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00037,S0652,Fn1306,C022,I03,30-11-22,19,2,80,73,D,62,29,72,1,1,9982,4462,Pending,Needs Improvement,Christopher Smith,27,Male,Junior,Biology,Active,Cloud Data Engineering,Data Engineering,2,Advanced,Sean Nichols,Data Engineering,13
F00038,S0249,Fn0470,C020,I01,25-11-21,8,9,59,73,A,95,8,13,10,8,6919,2221,Paid,Excellent Course,Gregory Chapman,23,Female,Sophomore,Business,Active,Statistical Analysis with R,Data Analytics,4,Intermediate,Timothy Watson,Data Analytics,8
F00039,S0567,Fn1130,C041,I03,12-12-22,15,8,70,94,D,86,18,26,2,1,12779,2133,Overdue,Needs Improvement,Mark Ayala Jr.,24,Female,Sophomore,Computer Science,Active,Database Design & Optimization,Data Engineering,3,Advanced,Sean Nichols,Data Engineering,13
F00040,S0630,Fn1264,C044,I04,18-04-22,7,3,66,93,B,52,0,65,8,4,5858,1706,Overdue,Great Course,Joe Richard,26,Male,Senior,Business,Active,Incident Response & Forensics,Cyber Security,4,Beginner,Michelle Stephens,Cyber Security,12
F00041,S0862,Fn1716,C002,I04,23-04-22,10,2,54,78,F,63,12,93,10,3,11896,1629,Overdue,Excellent Course,Benjamin Bell,22,Male,Junior,Computer Science,Active,Incident Response & Forensics,Cyber Security,3,Intermediate,Michelle Stephens,Cyber Security,12
F00042,S0688,Fn1372,C043,I02,11-07-23,16,4,62,76,F,81,24,89,9,3,6139,3724,Pending,Great Course,Kylie Campbell,25,Female,Junior,Computer Science,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00043,S0354,Fn0688,C001,I03,10-07-22,17,5,70,83,D,72,6,29,7,6,12843,4526,Overdue,Great Course,Andre Stephens,18,Other,Sophomore,Mathematics,Active,ETL & Data Pipelines,Data Engineering,3,Advanced,Sean Nichols,Data Engineering,13
F00044,S0470,Fn0950,C023,I02,11-08-22,12,8,93,70,D,72,21,85,9,8,10870,4753,Paid,Great Course,Nicholas Gibson,22,Female,Freshman,Biology,Active,Deep Learning with TensorFlow,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00045,S0725,Fn1443,C048,I03,25-11-22,15,6,61,94,A,62,27,83,9,5,14226,4359,Overdue,Great Course,Stephanie Ellis,26,Female,Sophomore,Mathematics,Active,Data Wrangling with Python,Data Engineering,3,Intermediate,Sean Nichols,Data Engineering,13
F00046,S0265,Fn0505,C025,I01,29-04-21,17,7,74,50,D,98,19,45,6,6,16138,4264,Pending,Average Course,Patricia Gardner,20,Other,Sophomore,Biology,Active,Data Visualization with Power BI,Data Analytics,3,Advanced,Timothy Watson,Data Analytics,8
F00047,S0652,Fn1307,C026,I02,30-11-23,18,5,77,59,D,90,20,11,6,6,13358,4412,Overdue,Average Course,Christopher Smith,27,Male,Junior,Biology,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00048,S0977,Fn1949,C003,I02,17-09-21,15,4,51,79,C,88,6,63,7,1,12177,2451,Paid,Great Course,Scott Johnson,25,Other,Junior,Psychology,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00049,S0464,Fn0931,C031,I02,07-08-23,6,7,70,77,D,99,24,76,1,7,15201,212,Paid,Needs Improvement,Anthony Johnson,25,Other,Junior,Computer Science,Dropped,AI & Natural Language Processing,Data Science,3,Beginner,Melissa Jackson,Data Science,5
F00050,S0837,Fn1660,C027,I02,26-01-23,10,6,90,91,D,70,5,71,9,1,15802,4063,Pending,Great Course,Larry Diaz,22,Female,Junior,Mathematics,Graduated,Deep Learning with TensorFlow,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00051,S0851,Fn1692,C013,I01,06-01-21,12,9,71,79,C,92,11,37,1,7,6823,633,Overdue,Needs Improvement,Bryan Maynard,19,Other,Sophomore,Biology,Dropped,Introduction to Data Analytics,Data Analytics,4,Intermediate,Timothy Watson,Data Analytics,8
F00052,S0441,Fn0875,C047,I03,07-11-21,5,3,51,77,B,97,3,85,8,8,6971,3009,Paid,Great Course,Jessica Mcdonald,28,Other,Junior,Computer Science,Active,Database Design & Optimization,Data Engineering,2,Advanced,Sean Nichols,Data Engineering,13
F00053,S0284,Fn0541,C033,I02,07-03-21,8,2,79,78,B,80,27,69,10,4,13519,1384,Pending,Excellent Course,Ebony Johnson,24,Other,Freshman,Computer Science,Active,AI & Natural Language Processing,Data Science,2,Intermediate,Melissa Jackson,Data Science,5
F00054,S0785,Fn1554,C025,I01,01-01-23,5,9,50,80,C,99,19,64,2,8,10166,671,Pending,Needs Improvement,Robert Alexander,19,Male,Freshman,Computer Science,Graduated,Data Visualization with Power BI,Data Analytics,3,Advanced,Timothy Watson,Data Analytics,8
F00055,S0534,Fn1075,C016,I02,29-01-21,18,4,95,92,A,56,9,85,10,6,8596,2170,Pending,Excellent Course,Kevin Gibbs,25,Male,Freshman,Computer Science,Active,Big Data Analytics,Data Science,4,Intermediate,Melissa Jackson,Data Science,5
F00056,S0931,Fn1856,C047,I03,22-10-22,8,7,62,90,D,85,18,62,7,6,18689,1045,Pending,Great Course,Timothy Turner,25,Other,Senior,Business,Active,Database Design & Optimization,Data Engineering,2,Advanced,Sean Nichols,Data Engineering,13
F00057,S0369,Fn0721,C038,I02,19-06-23,18,2,52,53,A,68,1,48,5,9,10954,3289,Pending,Average Course,Leslie Cruz,29,Other,Freshman,Biology,Active,Big Data Analytics,Data Science,2,Intermediate,Melissa Jackson,Data Science,5
F00058,S0699,Fn1398,C026,I02,23-06-23,15,8,69,98,F,71,3,52,8,6,5820,2600,Pending,Great Course,Kathleen Mccormick,18,Male,Sophomore,Mathematics,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00059,S0719,Fn1428,C047,I03,27-12-21,13,9,54,68,A,73,14,41,10,5,17084,876,Paid,Excellent Course,Patricia Johnson,18,Female,Junior,Biology,Graduated,Database Design & Optimization,Data Engineering,2,Advanced,Sean Nichols,Data Engineering,13
F00060,S0659,Fn1315,C018,I04,20-08-23,10,3,51,59,D,73,5,29,7,6,9494,393,Overdue,Great Course,Evan Buchanan,22,Female,Senior,Business,Dropped,Ethical Hacking & Penetration Testing,Cyber Security,4,Intermediate,Michelle Stephens,Cyber Security,12
F00061,S0495,Fn1006,C017,I04,26-01-21,10,6,75,94,B,70,0,29,8,8,17724,2571,Pending,Great Course,Richard Cox,22,Other,Freshman,Biology,Active,Ethical Hacking & Penetration Testing,Cyber Security,3,Intermediate,Michelle Stephens,Cyber Security,12
F00062,S0946,Fn1880,C046,I03,12-03-21,9,7,78,80,D,92,17,61,2,9,16384,1768,Overdue,Needs Improvement,Holly Smith,29,Male,Freshman,Mathematics,Active,Data Wrangling with Python,Data Engineering,4,Intermediate,Sean Nichols,Data Engineering,13
F00063,S0154,Fn0290,C025,I01,26-06-21,18,4,67,83,D,62,7,17,10,8,16049,232,Pending,Excellent Course,Kirsten Martin,24,Female,Freshman,Computer Science,Active,Data Visualization with Power BI,Data Analytics,3,Advanced,Timothy Watson,Data Analytics,8
F00064,S0620,Fn1243,C026,I02,27-01-21,7,8,58,90,D,55,12,81,9,8,18084,4383,Paid,Great Course,Kristen Mcdowell,22,Male,Freshman,Biology,Graduated,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00065,S0316,Fn0609,C018,I04,20-04-23,18,6,71,88,A,77,18,16,6,7,12924,3569,Paid,Average Course,Nathan Holloway,21,Female,Sophomore,Computer Science,Active,Ethical Hacking & Penetration Testing,Cyber Security,4,Intermediate,Michelle Stephens,Cyber Security,12
F00066,S0300,Fn0577,C049,I04,28-03-23,6,7,77,91,B,81,15,96,6,1,18358,2423,Overdue,Average Course,Crystal Morales,20,Other,Freshman,Biology,Dropped,Network Security & Firewalls,Cyber Security,3,Beginner,Michelle Stephens,Cyber Security,12
F00067,S0440,Fn0874,C001,I03,29-07-22,13,7,61,93,B,62,0,67,6,4,7778,4809,Pending,Average Course,Anthony Taylor,23,Male,Freshman,Biology,Active,ETL & Data Pipelines,Data Engineering,3,Advanced,Sean Nichols,Data Engineering,13
F00068,S0995,Fn1984,C046,I03,27-09-23,13,4,86,80,A,83,1,66,1,4,7682,831,Overdue,Needs Improvement,Wyatt Fitzgerald,22,Male,Senior,Psychology,Active,Data Wrangling with Python,Data Engineering,4,Intermediate,Sean Nichols,Data Engineering,13
F00069,S0811,Fn1598,C007,I01,15-06-22,11,3,67,60,A,81,18,88,7,3,17813,86,Pending,Great Course,Thomas Patrick,21,Female,Senior,Business,Dropped,Introduction to Data Analytics,Data Analytics,4,Advanced,Timothy Watson,Data Analytics,8
F00070,S0151,Fn0285,C030,I03,08-05-22,6,3,83,85,A,63,13,32,2,4,5488,1908,Pending,Needs Improvement,Benjamin Larson,27,Female,Senior,Mathematics,Active,Database Design & Optimization,Data Engineering,4,Advanced,Sean Nichols,Data Engineering,13
F00071,S0970,Fn1936,C033,I02,05-10-21,8,3,91,93,F,81,14,59,2,2,14980,2217,Pending,Needs Improvement,Robert Whitaker,20,Other,Junior,Mathematics,Active,AI & Natural Language Processing,Data Science,2,Intermediate,Melissa Jackson,Data Science,5
F00072,S0406,Fn0798,C025,I01,26-09-23,15,2,91,93,F,94,1,99,5,3,19840,1234,Pending,Average Course,Andrew Hopkins,27,Female,Sophomore,Biology,Active,Data Visualization with Power BI,Data Analytics,3,Advanced,Timothy Watson,Data Analytics,8
F00073,S0175,Fn0330,C025,I01,19-04-23,12,8,52,81,D,54,12,92,6,3,9845,492,Pending,Average Course,Savannah Allen,29,Other,Senior,Computer Science,Active,Data Visualization with Power BI,Data Analytics,3,Advanced,Timothy Watson,Data Analytics,8
F00074,S0055,Fn0099,C027,I02,27-04-23,14,5,95,72,F,84,19,79,1,1,14582,1981,Pending,Needs Improvement,Lauren Diaz,19,Female,Senior,Business,Active,Deep Learning with TensorFlow,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00075,S0779,Fn1538,C035,I04,19-06-23,10,6,54,89,A,53,28,46,1,7,6338,21,Paid,Needs Improvement,Richard Garcia,26,Male,Sophomore,Computer Science,Dropped,Incident Response & Forensics,Cyber Security,3,Intermediate,Michelle Stephens,Cyber Security,12
F00076,S0311,Fn0601,C043,I02,20-10-21,9,4,72,95,A,63,19,65,1,4,6133,3877,Paid,Needs Improvement,Dr. Patricia Morrison,18,Male,Senior,Mathematics,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00077,S0154,Fn0291,C018,I04,18-11-23,15,6,62,88,A,67,10,84,7,8,16113,4127,Pending,Great Course,Kirsten Martin,24,Female,Freshman,Computer Science,Active,Ethical Hacking & Penetration Testing,Cyber Security,4,Intermediate,Michelle Stephens,Cyber Security,12
F00078,S0897,Fn1793,C030,I03,13-09-21,14,5,73,52,B,60,9,42,1,9,18887,3382,Overdue,Needs Improvement,Adam Jennings,20,Female,Junior,Psychology,Dropped,Database Design & Optimization,Data Engineering,4,Advanced,Sean Nichols,Data Engineering,13
F00079,S0500,Fn1014,C014,I03,24-06-23,6,2,77,77,B,68,1,85,9,2,9651,344,Overdue,Great Course,Jacob Valdez,18,Other,Freshman,Computer Science,Active,Data Wrangling with Python,Data Engineering,2,Advanced,Sean Nichols,Data Engineering,13
F00080,S0996,Fn1986,C035,I04,27-10-22,5,2,66,74,F,51,28,9,3,2,19323,1160,Paid,Needs Improvement,Antonio Williams,23,Female,Senior,Computer Science,Active,Incident Response & Forensics,Cyber Security,3,Intermediate,Michelle Stephens,Cyber Security,12
F00081,S0501,Fn1018,C034,I03,22-09-21,5,5,55,77,C,83,16,88,10,2,15648,483,Overdue,Excellent Course,James Orozco,21,Female,Junior,Computer Science,Active,Cloud Data Engineering,Data Engineering,4,Advanced,Sean Nichols,Data Engineering,13
F00082,S0190,Fn0363,C020,I01,05-02-22,5,7,76,68,C,52,2,52,2,8,8162,4017,Pending,Needs Improvement,Jennifer Graham,26,Female,Junior,Psychology,Active,Statistical Analysis with R,Data Analytics,4,Intermediate,Timothy Watson,Data Analytics,8
F00083,S0506,Fn1026,C015,I04,05-04-22,19,4,94,95,A,78,29,39,6,2,5238,1828,Pending,Average Course,Stephanie Williams,22,Female,Junior,Psychology,Active,Incident Response & Forensics,Cyber Security,2,Intermediate,Michelle Stephens,Cyber Security,12
F00084,S0149,Fn0280,C007,I01,16-02-23,15,5,78,68,B,72,3,52,2,6,12467,1884,Pending,Needs Improvement,John Buchanan,26,Other,Freshman,Biology,Active,Introduction to Data Analytics,Data Analytics,4,Advanced,Timothy Watson,Data Analytics,8
F00085,S0008,Fn0011,C013,I01,18-10-23,10,2,61,91,D,97,26,18,5,5,17604,3499,Pending,Average Course,Cindy Valencia,20,Male,Sophomore,Computer Science,Graduated,Introduction to Data Analytics,Data Analytics,4,Intermediate,Timothy Watson,Data Analytics,8
F00086,S0660,Fn1317,C036,I03,07-02-22,8,7,84,93,F,50,21,58,5,9,13961,3053,Pending,Average Course,Sara Booth,23,Male,Sophomore,Business,Active,Database Design & Optimization,Data Engineering,2,Advanced,Sean Nichols,Data Engineering,13
F00087,S0685,Fn1367,C040,I03,22-09-23,15,2,97,78,B,91,4,30,9,2,12410,315,Overdue,Great Course,Alexis Davis,27,Other,Sophomore,Business,Active,Database Design & Optimization,Data Engineering,4,Advanced,Sean Nichols,Data Engineering,13
F00088,S0593,Fn1181,C034,I03,28-10-21,13,7,54,99,A,55,29,47,4,1,12120,4862,Overdue,Average Course,Stuart Scott,29,Female,Sophomore,Psychology,Active,Cloud Data Engineering,Data Engineering,4,Advanced,Sean Nichols,Data Engineering,13
F00089,S0591,Fn1175,C013,I01,31-12-23,13,6,51,68,A,66,1,46,8,2,15318,1876,Pending,Great Course,Robert White,24,Other,Sophomore,Computer Science,Active,Introduction to Data Analytics,Data Analytics,4,Intermediate,Timothy Watson,Data Analytics,8
F00090,S0469,Fn0946,C004,I02,02-08-21,7,4,60,67,C,68,3,92,7,5,19810,2635,Pending,Great Course,Wyatt Wade,27,Other,Senior,Business,Active,Big Data Analytics,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00091,S0321,Fn0618,C013,I01,24-05-23,10,4,53,94,A,93,11,99,7,8,9086,2329,Overdue,Great Course,William Mckinney,19,Other,Freshman,Business,Graduated,Introduction to Data Analytics,Data Analytics,4,Intermediate,Timothy Watson,Data Analytics,8
F00092,S0572,Fn1137,C048,I03,09-01-22,10,2,71,98,A,97,5,22,1,8,17617,4130,Overdue,Needs Improvement,Michael Lopez,28,Other,Freshman,Mathematics,Active,Data Wrangling with Python,Data Engineering,3,Intermediate,Sean Nichols,Data Engineering,13
F00093,S0451,Fn0901,C044,I04,10-12-21,14,5,50,73,D,51,27,59,6,2,19845,1613,Pending,Average Course,Maria Brown,24,Female,Senior,Computer Science,Active,Incident Response & Forensics,Cyber Security,4,Beginner,Michelle Stephens,Cyber Security,12
F00094,S0607,Fn1216,C013,I01,12-05-23,14,2,94,87,F,64,19,54,6,5,5776,4470,Overdue,Average Course,Todd Miller,18,Male,Sophomore,Computer Science,Active,Introduction to Data Analytics,Data Analytics,4,Intermediate,Timothy Watson,Data Analytics,8
F00095,S0824,Fn1629,C023,I02,28-10-21,5,6,99,65,D,72,26,90,10,2,19012,2100,Pending,Excellent Course,Bonnie Mason,20,Other,Senior,Mathematics,Active,Deep Learning with TensorFlow,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00096,S0128,Fn0240,C029,I02,19-01-23,19,9,65,67,C,68,26,25,8,7,8778,808,Paid,Great Course,Kimberly Lopez,18,Other,Sophomore,Biology,Active,Python for Data Science,Data Science,2,Advanced,Melissa Jackson,Data Science,5
F00097,S0634,Fn1273,C033,I02,13-03-22,13,5,51,90,B,82,29,38,6,8,10015,4611,Pending,Average Course,Brent Page,27,Female,Senior,Computer Science,Active,AI & Natural Language Processing,Data Science,2,Intermediate,Melissa Jackson,Data Science,5
F00098,S0287,Fn0547,C023,I02,12-04-21,8,2,90,62,C,55,14,93,8,5,19501,513,Overdue,Great Course,Nathan Golden,26,Other,Sophomore,Business,Active,Deep Learning with TensorFlow,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00099,S0853,Fn1695,C003,I02,10-01-21,10,7,76,53,A,99,6,44,6,1,6733,2338,Paid,Average Course,William Myers,26,Female,Freshman,Business,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00100,S0087,Fn0161,C032,I01,01-12-23,14,8,61,62,F,68,28,34,8,7,7948,4580,Overdue,Great Course,Emily Dean,29,Female,Sophomore,Computer Science,Active,SQL for Data Analysis,Data Analytics,3,Beginner,Timothy Watson,Data Analytics,8
F00101,S0894,Fn1786,C003,I02,05-01-22,16,7,54,84,A,79,5,74,5,3,12235,1896,Overdue,Average Course,Taylor Tanner,28,Male,Senior,Computer Science,Active,Deep Learning with TensorFlow,Data Science,3,Intermediate,Melissa Jackson,Data Science,5
F00102,S0081,Fn0148,C012,I02,06-05-21,12,9,54,53,F,71,21,29,9,2,19572,2700,Overdue,Great Course,Tracy Burke,29,Other,Sophomore,Computer Science,Active,Machine Learning Fundamentals,Data Science,4,Advanced,Melissa Jackson,Data Science,5
